
Afghanistan Technical Vocational Institute,34.5144,69.1373,Afghanistan,Kabul
American University of Afghanistan,34.4756,69.1264,Afghanistan,Kabul
Kabul Medical University,34.5167,69.1297,Afghanistan,Kabul
Rana Institute of Higher Studies,34.5367,69.144,Afghanistan,Kabul
Kabul Polytechnic University,34.535,69.1197,Afghanistan,Kabul
Kabul University,34.5178,69.1281,Afghanistan,Kabul
Kardan University,34.5494,69.1526,Afghanistan,Kabul
Marshal Fahim National Defense University,34.5353,69.0733,Afghanistan,Kabul


University of Arts (Tirana),41.3178,19.8203,Albania,Tirana
University of Medicine (Tirana),41.3167,19.8217,Albania,Tirana
University of New York (Tirana),41.315,19.8062,Albania,Tirana
University of Tirana,41.3167,19.8217,Albania,Tirana
Vitrina University,41.3217,19.819,Albania,Tirana
Epitech,48.8153,2.36306,Albania,Tirana
Epitech,48.8153,2.36306,France,Strasbourg
Epitech,48.8153,2.36306,France,Saint-André
Epitech,48.8153,2.36306,France,Lille
Epitech,48.8153,2.36306,France, Nancy
Epitech,48.8153,2.36306,France,Montpellier
Epitech,48.8153,2.36306,France,Rennes
Epitech,48.8153,2.36306,France,Lyon
Epitech,48.8153,2.36306,Germany,Berlin
Epitech,48.8153,2.36306,Belgium,Brussels
Epitech,48.8153,2.36306,France,Bordeaux
Epoka University,41.4047,19.7053,Albania,Tirana
Epitech,48.8153,2.36306,Spain,Barcelona
Agricultural University of Tirana,41.3622,19.7711,Albania,Tirana
Albanian University,40.7012,19.9568,Albania,Tirana
European University of Tirana,41.3217,19.8025,Albania,Tirana
Marin Barleti University,41.3166,19.797,Albania,Tirana
Marubi Academy of Film and Multimedia,41.3464,19.8473,Albania,Tirana
Polis University,41.3535,19.7494,Albania,Tirana
Polytechnic University of Tirana,41.3172,19.8213,Albania,Tirana
Sports University of Tirana,41.3306,19.8019,Albania,Tirana
Metropolitan University of Tirana,41.3202,19.8301,Albania,Tirana
Epitech,48.8153,2.36306,France,Toulouse
Epitech,48.8153,2.36306,France,Nantes
Epitech,48.8153,2.36306,France,Marseille
Epitech,48.8153,2.36306,France,Nice
Epitech,48.8153,2.36306,France,Le Kremlin-Bic\xc3\xaatre


Zawiya Thaalibia (Algiers),36.7885,3.05956,Algeria,Algiers
AES Algiers,36.641,2.79142,Algeria,Algiers
Algiers 1 University,36.7708,3.05556,Algeria,Algiers
Algiers 2 University,36.7757,3.00389,Algeria,Algiers
Algiers 3 University,36.7567,2.98378,Algeria,Algiers
Higher National Veterinary School,36.7178,3.1526,Algeria,Algiers




Jean Piaget University of Angola,-8.908,13.401,Angola,Luanda




Universidad del Salvador,-34.5996,-58.3929,Argentina,Buenos Aires
University of Belgrano,-34.5641,-58.4437,Argentina,Buenos Aires
University of Buenos Aires,-34.5997,-58.3731,Argentina,Buenos Aires
University of Palermo (Buenos Aires),-34.5974,-58.416,Argentina,Buenos Aires
Colegio Máximo de San José,-34.5579,-58.7309,Argentina,San Miguel, Buenos Aires
Colegio Máximo de San José,-34.5579,-58.7309,Argentina,Buenos Aires
Colegio Nacional de Buenos Aires,-34.611,-58.374,Argentina,Buenos Aires
Faculty of Architecture, Design and Urbanism, University of Buenos Aires,-34.3229,-58.2638,Argentina,Buenos Aires
Faculty of Dentistry, University of Buenos Aires,-34.355,-58.2353,Argentina,Buenos Aires
Faculty of Economic Sciences, University of Buenos Aires,-34.36,-58.2352,Argentina,Buenos Aires
Faculty of Engineering, University of Buenos Aires,-34.3704,-58.2205,Argentina,Buenos Aires
Faculty of Exact and Natural Sciences,-34.5409,-58.4434,Argentina,Buenos Aires
Faculty of Law, University of Buenos Aires,-34.3457,-58.2331,Argentina,Buenos Aires
Faculty of Medical Sciences, University of Buenos Aires,-34.3556,-58.2353,Argentina,Buenos Aires
Faculty of Pharmacy and Biochemistry, University of Buenos Aires,-34.3552,-58.2352,Argentina,Buenos Aires
Faculty of Philosophy and Letters, University of Buenos Aires,-34.3742,-58.2648,Argentina,Buenos Aires
Faculty of Psychology, University of Buenos Aires,-34.3645,-58.2445,Argentina,Buenos Aires
Faculty of Social Sciences, University of Buenos Aires,-34.3714,-58.2305,Argentina,Buenos Aires
Faculty of Veterinary Sciences, University of Buenos Aires,-34.3541,-58.2841,Argentina,Buenos Aires
Favaloro University,-34.6143,-58.3904,Argentina,Buenos Aires
Instituto Tecnológico de Buenos Aires,-34.6033,-58.3678,Argentina,Buenos Aires
Universidad Nacional de las Artes,-34.5947,-58.3994,Argentina,Buenos Aires


Vazgen Sargsyan Military University,40.1844,44.5614,Armenia,Yerevan
Crisis Management State Academy,40.2167,44.5622,Armenia,Yerevan
Armenian National Agrarian University,40.1886,44.5222,Armenia,Yerevan
Armenian State Institute of Physical Culture and Sport,40.1761,44.5239,Armenia,Yerevan
State Academy of Fine Arts of Armenia,40.1894,44.5167,Armenia,Yerevan
British School of Business Armenia,40.1842,44.5253,Armenia,Yerevan
CANDLE Synchrotron Research Institute,40.2225,44.5528,Armenia,Yerevan
Tumo Center for Creative Technologies,40.1965,44.4801,Armenia,Yerevan
Haybusak University of Yerevan,40.2,44.4761,Armenia,Yerevan
American University of Armenia,40.1933,44.5045,Armenia,Yerevan
Fondation Université Fran\xc3\xa7aise en Arménie,40.2032,44.5293,Armenia,Yerevan
Komitas State Conservatory of Yerevan,40.1871,44.5169,Armenia,Yerevan
Armenian State Pedagogical University,40.1752,44.5237,Armenia,Yerevan
Armenian State University of Economics,40.1844,44.525,Armenia,Yerevan
